100m;9.58;1000, 950, 900, 850, 800, 750, 700;10.39, 10.60, 10.82, 11.05, 11.27, 11.51, 11.75;
Saut en longueur;8.95;1000, 950, 900, 850, 800, 750, 700;7.76, 7.56, 7.36, 7.15, 6.95, 6.73, 6.51;
Lancer du poids;23.37;1000, 950, 900, 850, 800, 750, 700;18.40, 17.59, 16.79, 15.98, 15.16, 14.35, 13.53;
Saut en hauteur;2.45;1000, 950, 900, 850, 800, 750, 700;2.21, 2.16, 2.11, 2.05, 2.00, 1.94, 1.89;
400m;43.03;1000, 950, 900, 850, 800, 750, 700;46.17, 47.17, 48.19, 49.24, 50.32, 51.43, 52.58;
110m haies;12.8;1000, 950, 900, 850, 800, 750, 700;13.81, 14.19, 14.59, 15.00, 15.41, 15.85, 16.29;
Lancer du disque;74.08;1000, 950, 900, 850, 800, 750, 700;56.18, 53.80, 51.40, 49.00, 46.60, 44.16, 41.72;
Saut à la perche;6.21;1000, 950, 900, 850, 800, 750, 700;5.29, 5.13, 4.97, 4.80, 4.64, 4.46, 4.30;
Lancer du javelot;98.48;1000, 950, 900, 850, 800, 750, 700;77.2, 73.94, 70.68, 67.40, 64.10, 60.78, 57.46;
1500m;206.00;1000, 950, 900, 850, 800, 750, 700;233.79, 240.53, 247.42, 254.50, 261.77, 269.25, 276.96;
